id	phrase_id	sub_id	phrase	word_positive	word_negative
1	1	1	プチプラ	プチプラ	贅沢
2	1	2	プチプラ	プチプラ 美肌	
3	1	3	プチプラ	プチプラ メイク	
4	1	4	プチプラ	プチプラ ファッション	
5	1	5	プチプラ	プチプラ 気軽	
6	1	6	プチプラ	プチプラ 小物	
7	2	1	アクセント	アクセント	
8	2	2	アクセント	アクセント アクセサリー	
10	2	4	アクセント	アクセント こだわり	
11	2	5	アクセント	アクセント ファッション	
12	2	6	アクセント	アクセント ヘアスタイル	
13	2	7	アクセント	ポイントメイク	
13	2	7	アクセント	アクセント スパイス	
13	2	7	アクセント	アクセント おしゃれ	
13	2	7	アクセント	アクセント 可愛い	
14	3	1	トップス	トップス	
15	4	1	コーデ	コーデ	
16	4	2	コーデ	コーデ 夏	
17	4	3	コーデ	コーデ 変身	
18	5	1	バッグ	バッグ	
19	5	2	バッグ	バッグ トレンド	
20	5	3	バッグ	バッグ 旅行	
21	7	1	こなれ感	こなれ感	
22	7	3	こなれ感	こなれ感 メイク	
23	7	4	こなれ感	こなれ感 ファッション	
24	7	5	こなれ感	こなれ感 ショッピング	
25	7	6	こなれ感	こなれ感 仕事	
26	7	7	こなれ感	こなれ感	ヘアスタイル
27	8	1	ワンピース	ワンピース	
28	8	2	ワンピース	ワンピース おしゃれ	
29	8	3	ワンピース	ワンピース ヘアスタイル	
30	8	4	ワンピース	ワンピース 気分	
31	8	5	ワンピース	ワンピース 女子	
32	8	6	ワンピース	ワンピース コーデ	
33	8	7	ワンピース	ワンピース メイク	
34	9	1	モノトーン	モノトーン	
35	9	1	モノトーン	モノトーン シック	
36	10	1	インテリア	インテリア	
37	10	2	インテリア	インテリア カフェ	
38	10	3	インテリア	インテリア 隠れ家	
39	11	1	おでかけ	おでかけ	
40	11	1	おでかけ	ショッピング	
41	11	1	おでかけ	ドライブ	
42	12	1	ブランド	ブランド	
43	12	1	ブランド	ブランド 高級	
44	13	1	ニット	ニット	
45	14	1	コンパクト	コンパクト	美容
46	14	1	コンパクト	小型	
47	14	1	コンパクト	持ち運び	
47	14	1	コンパクト	ポケット	
49	14	1	コンパクト	可愛い	
50	15	1	大人っぽい	大人っぽい 子供っぽい	
51	16	1	フェミニン	フェミニン	
52	17	1	トレンド感	トレンド感 メイク	
53	17	2	トレンド感	トレンド感 ファッション	
54	17	3	トレンド感	トレンド感 今どき	
55	18	1	アレンジできる	アレンジできる	
56	18	2	アレンジできる	アレンジできる	ヘアスタイル
57	18	2	アレンジできる	アレンジできる ファッション	
58	19	1	デート	デート	
59	19	2	デート	デート メイク	
60	19	3	デート	デート 夜	
61	19	4	デート	デート 恋愛	
62	20	1	メイク	メイク	
63	20	2	メイク	メイク 職場	
64	20	3	メイク	メイク 変身	
65	21	1	リラックス	リラックス	
66	21	2	リラックス	リラックス エステ	
67	21	3	リラックス	リラックス 旅行	
68	21	4	リラックス	リラックス カフェ	
69	22	1	仕事	仕事	
70	22	2	仕事	通勤	
71	22	2	仕事	職場	
72	22	2	仕事	OL	
73	23	1	アウター	アウター	
74	24	1	ファッション	ファッション	
75	25	1	ワントーン	ワントーン	
76	26	1	ワイドパンツ	ワイドパンツ	
77	27	1	ボトムス	ボトムス	
78	28	1	季節感	季節感	
78	28	2	季節感	夏 景色	
78	28	3	季節感	夏 ファッション	
78	28	4	季節感	夏 肌		
78	28	2	季節感	秋 景色	
78	28	3	季節感	秋 ファッション	
78	28	4	季節感	秋 肌		
78	28	5	季節感	旬の味覚	
78	28	5	季節感	旬の食材	
78	28	6	季節感	シーズン	
79	29	1	パンプス	パンプス	
80	30	1	スカート	スカート	
81	31	1	着回し	着回し	
82	31	2	着回し	着回し 日常	
83	32	1	秋冬	秋冬	
84	32	1	秋冬	秋 冬	春 夏
85	33	1	ブラウス	ブラウス	
86	33	2	ブラウス	ブラウス フォーマル	
87	35	1	乾燥	乾燥	
88	35	1	乾燥	乾燥しない	
89	36	1	ヘルシー	ヘルシー	
90	36	2	ヘルシー	ヘルシー カロリー	
91	36	3	ヘルシー	ヘルシー 元気	
92	37	1	カジュアル	カジュアル コーデ プロ	
93	37	2	カジュアル	カジュアル コーデ シンプル	
94	37	3	カジュアル	カジュアル 時短	
95	38	1	インナー	インナー	
96	39	1	旅行	旅行	
97	39	2	旅行	旅行 景観	
98	39	3	旅行	旅行 女子旅	
99	39	4	旅行	旅行 美容	
100	39	5	旅行	旅行 新鮮	
101	40	1	モテ	モテ	
102	40	2	モテ	モテ ウケ	
103	40	3	モテ	モテ 愛され	
104	41	1	アクセサリー	アクセサリー	
105	41	2	アクセサリー	アクセサリー 自分へのご褒美	
106	41	3	アクセサリー	アクセサリー キレイ	
107	41	4	アクセサリー	アクセサリー コーデ	
108	41	4	アクセサリー	ポーチ	
109	41	4	アクセサリー	ジュエリー	
110	42	1	ダイエット	ダイエット	
111	42	2	ダイエット	ダイエット 痩せる	
112	42	3	ダイエット	ダイエット トレーニング	
113	42	4	ダイエット	ダイエット 低カロリー	
114	42	5	ダイエット	ダイエット サプリ	
115	42	6	ダイエット	ダイエット 食事	
116	43	1	運動	運動	サプリ
117	43	2	運動	鍛える 体	
84	44	1	初夏	初夏 夏	冬 秋
